,Shape *,Match,bridge,from,highway,length,name,oneway,osmid,to,Shape_Leng,OBJECTID,from_lng,from_lat,to_lng,to_lat,from_lat_mars,from_lng_mars,to_lat_mars,to_lng_mars,isShortest
1174,折线,1052, ,1750894939,secondary_link,7.187, ,True,163383709,1750894937,7.19095,1960511,120.330974,31.61689,120.3310338,31.6168502,31.61504748781289,120.3356226761555,31.61500780173101,120.3356825665794,0.0
1175,折线,4632, ,1750894937,secondary_link,8.5, ,True,163383709,1750894936,8.505526,1961855,120.3310338,31.6168502,120.3311046,31.6168032,31.61500780173101,120.3356825665794,31.6149609365922,120.3357534736406,1.0
1176,折线,768, ,1750894937,primary,182.313,锡港路,True,163233325,1750895051,182.18251,1960411,120.3310338,31.6168502,120.3321784,31.6181686,31.61500780173101,120.3356825665794,31.61632839988832,120.3368290770615,1.0
1177,折线,4076,yes,2318367511,secondary,77.426,"['化肥桥', '新光路']",True,"[412372561, 412372562, 412373757]",2318376510,77.435685,1961647,120.3310916,31.5412073,120.3304973,31.5407295,31.53936088144751,120.3357338901002,31.53888189704617,120.3351386163071,1.0
1178,折线,999, ,2318367511,secondary,15.093, ,True,233066056,2318382528,15.09242,1960485,120.3310916,31.5412073,120.3312036,31.5411108,31.53936088144751,120.3357338901002,31.53926458579616,120.3358460573972,0.0
1179,折线,1769, ,1750894936,primary_link,187.615999999999,锡港路,True,163233320,1750895050,187.480964,1960772,120.3311046,31.6168032,120.3322824,31.61816,31.6149609365922,120.3357534736406,31.61631999826433,120.3369332393526,0.0
1180,折线,2255, ,1749325165,trunk_link,60.272, ,True,163174113,1749325147,60.349099,1960952,120.3311055,31.6221112,120.3316619,31.6218479,31.62026897477302,120.3357548365907,31.62000673678372,120.3363120869522,1.0
1181,折线,3716,yes,1749325165,trunk,760.565999999999,北环路,True,"[163175386, 163174132]",1749302768,760.834663,1961519,120.3311055,31.6221112,120.3369886,31.6178641,31.62026897477302,120.3357548365907,31.61603302503145,120.3416467471825,1.0
1182,折线,3779, ,4198817234,tertiary,845.672,广南路,True,419890752,4198817503,843.624374,1961544,120.3311427,31.5823196,120.3317618,31.5899051,31.58047637446888,120.3357886372818,31.58806340509009,120.3364093672654,0.0
1183,折线,2006,yes,1749325176,trunk,187.959,北环路,True,"[163175385, 163175379, 163175374]",1749325204,188.296772,1960861,120.3311619,31.6222535,120.3293103,31.6228629,31.62041138310069,120.3358113375066,31.62101724314378,120.3339568822215,1.0
