OBJECTID,from_lng_mars,from_lat_mars,to_lng_mars,to_lat_mars,isOK
204,120.280584,31.562986,120.278866,31.564913,1
204,120.280682,31.563023,120.278799,31.564864,1
205,120.274801,31.564743,120.273156,31.564438,1
205,120.273181,31.56432,120.274796,31.56461,1
207,120.282954,31.56398,120.281132,31.562658,1
207,120.281156,31.562572,120.283131,31.563923,1
208,120.281092,31.562469,120.281305,31.562246,1
208,120.281373,31.56231,120.281172,31.562522,1
209,120.280973,31.562546,120.280718,31.562366,1
209,120.280761,31.562306,120.281027,31.562479,1
210,120.278675,31.561071,120.276652,31.560585,1
210,120.276658,31.560516,120.278632,31.560975,1
212,120.276532,31.560566,120.273598,31.56001,1
212,120.273676,31.559939,120.276538,31.560493,1
237,120.289855,31.583749,120.290932,31.584781,1
237,120.290867,31.584842,120.289812,31.583836,1
242,120.314032,31.604378,120.3145,31.605819,1
246,120.3006031,31.59547533,120.2949131,31.59696988,1
247,120.3021968,31.59824128,120.3006031,31.59547533,1
259,120.2685632,31.56344553,120.269053,31.56165007,1
287,120.2704418,31.52194711,120.2715604,31.52194071,1
289,120.286348,31.5248732,120.2931338,31.52373839,1
290,120.2772714,31.52251676,120.286348,31.5248732,1
291,120.297156,31.525539,120.297045,31.525668,1
292,120.297199,31.525547,120.297487,31.525729,1
293,120.29707,31.525449,120.297151,31.525508,1
294,120.297493,31.525149,120.297202,31.525487,1
295,120.315192,31.538691,120.315597,31.538983,1
296,120.3139158,31.53774858,120.3150441,31.53856497,1
297,120.332089,31.578287,120.331802,31.578077,1
309,120.334371,31.557267,120.334687,31.55687,1
309,120.334806,31.556963,120.334522,31.557315,1
310,120.331061,31.561624,120.334215,31.557437,1
310,120.334393,31.557498,120.331212,31.561669,1
316,120.295205,31.569805,120.295854,31.57004,1
316,120.295867,31.570155,120.295172,31.56991,1
317,120.293498,31.569054,120.294896,31.569664,1
317,120.294532,31.569637,120.293422,31.569142,1
318,120.294785,31.570143,120.294954,31.569855,1
319,120.327054,31.566987,120.328338,31.565195,1
319,120.328443,31.565331,120.327162,31.567023,1
320,120.328457,31.565037,120.32968,31.563507,1
320,120.329787,31.563535,120.328598,31.56512,1
321,120.329755,31.563418,120.330956,31.561772,1
321,120.331123,31.561793,120.329831,31.563477,1
322,120.3427136,31.56134511,120.3431514,31.56049976,1
323,120.3417259,31.56303497,120.3427136,31.56134511,1
324,120.327131,31.547793,120.327485,31.548319,1
325,120.326477,31.547308,120.326906,31.547623,1
327,120.314657,31.552175,120.315301,31.55153,1
327,120.319325,31.541854,120.319392,31.541912,1
328,120.3185008,31.5411935,120.3192938,31.54181532,1
329,120.319146,31.541982,120.31929,31.541856,1
330,120.303237,31.557871,120.302277,31.559134,1
330,120.30218,31.559105,120.303158,31.557825,1
331,120.304012,31.55687,120.303305,31.557779,1
331,120.303217,31.55775,120.303902,31.556846,1
347,120.329032,31.588316,120.329082,31.58822,1
348,120.3289864,31.58834054,120.324723,31.58857536,1
349,120.328535,31.589417,120.329019,31.588348,1
350,120.32984,31.588304,120.329067,31.588333,1
353,120.316995,31.583677,120.317035,31.583725,1
354,120.317531,31.572905,120.320208,31.573851,1
354,120.320165,31.573956,120.317453,31.573024,1
355,120.316908,31.583705,120.316969,31.583673,1
356,120.3263963,31.56682806,120.3245375,31.5692422,1
357,120.294754,31.596927,120.29403,31.596767,1
358,120.294572,31.596212,120.294086,31.596669,1
359,120.295062,31.595771,120.29473,31.59607,1
361,120.293979,31.596755,120.293925,31.596723,1
362,120.294043,31.596712,120.294008,31.596746,1
363,120.30073,31.588324,120.297903,31.590513,1
363,120.297739,31.590457,120.300673,31.588231,1
364,120.3139158,31.53774858,120.3246052,31.54596662,1
365,120.3096619,31.53451812,120.3139158,31.53774858,1
366,120.302081,31.529044,120.309574,31.534508,1
368,120.333042,31.569793,120.333168,31.569681,1
368,120.333281,31.569761,120.333131,31.569878,1
369,120.333219,31.569629,120.336833,31.566299,1
370,120.332605,31.569208,120.333162,31.56964,1
371,120.3370923,31.56645244,120.3332597,31.56968963,1
372,120.270202,31.54089065,120.2704859,31.53737547,1
377,120.2839591,31.54136614,120.2873362,31.54146843,1
378,120.28383,31.541351,120.283942,31.54136,1
379,120.2845785,31.53782735,120.2839591,31.54136614,1
380,120.329117,31.567659,120.32879,31.567603,1
381,120.3325145,31.56936219,120.3292982,31.56758893,1
382,120.310957,31.556138,120.311008,31.556179,1
385,120.3072695,31.55308324,120.3109475,31.55609504,1
385,120.308075,31.553816,120.310838,31.556039,1
390,120.3065888,31.55263308,120.3096514,31.55506213,1
392,120.303469,31.549821,120.305794,31.551915,1
393,120.324904,31.565314,120.325061,31.565537,1
395,120.33175,31.57799693,120.330235,31.57655526,1
396,120.331869,31.577956,120.33509,31.575774,1
398,120.3304749,31.58078474,120.33175,31.57799693,1
399,120.3301531,31.58324764,120.330339,31.58216195,1
402,120.32968,31.586758,120.330171,31.583414,1
404,120.3041421,31.60425061,120.3145232,31.60427746,1
411,120.2842569,31.61166793,120.2840493,31.60971868,1
413,120.3065028,31.5920495,120.3007251,31.59542192,1
416,120.2708191,31.53186589,120.271013,31.5290888,1
417,120.270718,31.533067,120.270773,31.532358,1
421,120.274705,31.537394,120.270958,31.537393,1
421,120.270958,31.537393,120.274679,31.537358,1
422,120.276735,31.537487,120.274887,31.537395,1
422,120.274795,31.537353,120.276753,31.537449,1
423,120.28364,31.537908,120.283192,31.537876,1
423,120.283161,31.537808,120.283619,31.537828,1
424,120.284288,31.537951,120.283751,31.537923,1
424,120.283711,31.537828,120.284289,31.537849,1
426,120.290261,31.553571,120.289425,31.550163,1
427,120.295597,31.553659,120.293572,31.555547,1
427,120.293484,31.555496,120.295524,31.553606,1
428,120.297013,31.55227,120.295721,31.553545,1
428,120.295625,31.553507,120.296909,31.552233,1
429,120.3107998,31.55623869,120.3092286,31.55514811,1
430,120.309696,31.555366,120.310772,31.556181,1
431,120.3092589,31.55765246,120.3107998,31.55623869,1
432,120.31086,31.556247,120.310903,31.556279,1
435,120.307163,31.559327,120.304569,31.556839,1
436,120.307542,31.559652,120.309198,31.557698,1
437,120.306093,31.561744,120.307475,31.559739,1
438,120.30758,31.559744,120.30754,31.559704,1
439,120.302208,31.55922,120.301941,31.559571,1
439,120.301847,31.559539,120.302122,31.559169,1
442,120.301906,31.559624,120.301715,31.559892,1
442,120.301632,31.559832,120.301809,31.559587,1
455,120.3366725,31.57238451,120.3390576,31.57392124,1
456,120.3356395,31.5716458,120.3366725,31.57238451,1
457,120.3414402,31.57262827,120.343263,31.57177473,1
458,120.3354808,31.57136678,120.3414402,31.57262827,1
459,120.343263,31.57177473,120.3462743,31.56901995,1
460,120.338918,31.573821,120.339599,31.574269,1
460,120.339134,31.573974,120.339636,31.574295,1
462,120.3396525,31.57430519,120.3412942,31.57535485,1
465,120.287494,31.582136,120.289742,31.583642,1
465,120.289627,31.583663,120.287395,31.582246,1
478,120.2823691,31.52878595,120.2755871,31.52807503,1
479,120.2848248,31.5292335,120.2823691,31.52878595,1
480,120.286797,31.529573,120.286764,31.529459,1
481,120.28609,31.529468,120.284925,31.52927,1
482,120.2843948,31.53781725,120.2868422,31.52959441,1
483,120.286973,31.52963,120.286875,31.52961,1
488,120.3005275,31.53701217,120.3016584,31.53586549,1
489,120.2994231,31.53816372,120.3005275,31.53701217,1
490,120.290901,31.538098,120.29088,31.538184,1
491,120.2908543,31.538069,120.2948938,31.53817419,1
492,120.2923798,31.53392474,120.2908543,31.538069,1
493,120.290759,31.53807,120.290884,31.538076,1
494,120.296509,31.53818816,120.2994231,31.53816372,1
495,120.2948938,31.53817419,120.296509,31.53818816,1
501,120.316441,31.57282,120.317243,31.572872,1
501,120.317196,31.572988,120.316474,31.572942,1
507,120.3167307,31.58110661,120.3145251,31.58275432,1
508,120.3206077,31.57672009,120.3167307,31.58110661,1
509,120.323079,31.575228,120.319018,31.573463,1
513,120.3213461,31.57566361,120.3206077,31.57672009,1
514,120.3226135,31.57381717,120.3213461,31.57566361,1
515,120.3145251,31.58275432,120.31133,31.58545242,1
517,120.3152043,31.58571457,120.3158004,31.58444949,1
520,120.3269756,31.57589931,120.3238784,31.57553984,1
521,120.326353,31.56808776,120.3226135,31.57381717,1
525,120.320608,31.58627226,120.3169252,31.58383389,1
526,120.320715,31.586312,120.320655,31.586295,1
527,120.322752,31.563296,120.322797,31.563322,1
530,120.322275,31.563001,120.322699,31.563259,1
531,120.314082,31.58035,120.314324,31.579973,1
532,120.32215,31.563114,120.322576,31.563378,1
533,120.322637,31.563418,120.322734,31.563478,1
534,120.3221443,31.56441239,120.3226287,31.56343533,1
537,120.307824,31.545473,120.307993,31.545605,1
538,120.3021263,31.54081192,120.307864,31.54548847,1
540,120.305662,31.546528,120.304591,31.547493,1
542,120.302138,31.546978,120.302728,31.546388,1
542,120.302793,31.546461,120.302219,31.547044,1
543,120.298344,31.550931,120.297145,31.552126,1
543,120.297083,31.552062,120.298273,31.550883,1
544,120.309154,31.55122,120.310217,31.550245,1
544,120.31033,31.550295,120.309241,31.55131,1
545,120.309186,31.551358,120.307311,31.553068,1
545,120.307191,31.553009,120.309063,31.551303,1
548,120.3086,31.546172,120.308034,31.545729,1
549,120.3118507,31.54879839,120.3086455,31.54622165,1
550,120.30426,31.556551,120.30409,31.556779,1
550,120.303963,31.556772,120.304177,31.556482,1
551,120.304683,31.555959,120.304387,31.55638,1
551,120.304332,31.556277,120.304592,31.555917,1
552,120.302789,31.554055,120.303873,31.555648,1
552,120.303779,31.555787,120.302744,31.554158,1
553,120.304502,31.556778,120.304291,31.55655,1
554,120.297403,31.551509,120.302638,31.553891,1
554,120.302566,31.553961,120.297336,31.551607,1
556,120.30518,31.565224,120.305153,31.565216,1
558,120.310327,31.550149,120.310512,31.549982,1
