OBJECTID,distance,duation,status,time
838,129.000000,19.000000,畅通,<module 'time' (built-in)>
839,130.000000,12.000000,畅通,<module 'time' (built-in)>
844,810.000000,102.000000,畅通,<module 'time' (built-in)>
847,213.000000,14.000000,畅通,<module 'time' (built-in)>
852,166.000000,11.000000,畅通,<module 'time' (built-in)>
898,558.000000,51.000000,畅通,<module 'time' (built-in)>
945,122.000000,19.000000,畅通,<module 'time' (built-in)>
946,357.000000,138.000000,拥堵,<module 'time' (built-in)>
947,776.000000,58.000000,畅通,<module 'time' (built-in)>
952,371.000000,71.000000,畅通,<module 'time' (built-in)>
954,105.000000,12.000000,畅通,<module 'time' (built-in)>
956,212.000000,16.000000,畅通,<module 'time' (built-in)>
957,254.000000,18.000000,畅通,<module 'time' (built-in)>
959,430.000000,29.000000,畅通,<module 'time' (built-in)>
960,571.000000,77.000000,畅通,<module 'time' (built-in)>
961,159.000000,19.000000,畅通,<module 'time' (built-in)>
962,272.000000,23.000000,畅通,<module 'time' (built-in)>
1026,190.000000,29.000000,畅通,<module 'time' (built-in)>
1028,523.000000,42.000000,畅通,<module 'time' (built-in)>
1029,332.000000,29.000000,畅通,<module 'time' (built-in)>
1033,162.000000,17.000000,畅通,<module 'time' (built-in)>
1035,227.000000,26.000000,畅通,<module 'time' (built-in)>
1037,137.000000,13.000000,畅通,<module 'time' (built-in)>
1050,610.000000,84.000000,畅通,<module 'time' (built-in)>
1058,388.000000,54.000000,畅通,<module 'time' (built-in)>
1066,137.000000,11.000000,畅通,<module 'time' (built-in)>
1073,331.000000,81.000000,畅通,<module 'time' (built-in)>
1104,98.000000,12.000000,畅通,<module 'time' (built-in)>
1106,188.000000,23.000000,畅通,<module 'time' (built-in)>
1129,647.000000,60.000000,畅通,<module 'time' (built-in)>
1132,402.000000,52.000000,畅通,<module 'time' (built-in)>
1138,199.000000,30.000000,畅通,<module 'time' (built-in)>
1146,156.000000,17.000000,畅通,<module 'time' (built-in)>
1149,1036.000000,114.000000,畅通,<module 'time' (built-in)>
1153,437.000000,222.000000,缓行,<module 'time' (built-in)>
1156,293.000000,72.000000,畅通,<module 'time' (built-in)>
1163,520.000000,74.000000,畅通,<module 'time' (built-in)>
1164,152.000000,69.000000,畅通,<module 'time' (built-in)>
1165,112.000000,10.000000,畅通,<module 'time' (built-in)>
1185,160.000000,57.000000,畅通,<module 'time' (built-in)>
1187,555.000000,63.000000,畅通,<module 'time' (built-in)>
1188,342.000000,47.000000,畅通,<module 'time' (built-in)>
1192,239.000000,33.000000,缓行,<module 'time' (built-in)>
1193,168.000000,36.000000,畅通,<module 'time' (built-in)>
1196,148.000000,80.000000,畅通,<module 'time' (built-in)>
1199,212.000000,68.000000,畅通,<module 'time' (built-in)>
1298,267.000000,62.000000,畅通,<module 'time' (built-in)>
1301,219.000000,18.000000,畅通,<module 'time' (built-in)>
1304,346.000000,69.000000,畅通,<module 'time' (built-in)>
1308,222.000000,17.000000,畅通,<module 'time' (built-in)>
1312,293.000000,37.000000,畅通,<module 'time' (built-in)>
1313,166.000000,18.000000,畅通,<module 'time' (built-in)>
1326,200.000000,18.000000,畅通,<module 'time' (built-in)>
1327,209.000000,15.000000,畅通,<module 'time' (built-in)>
1331,267.000000,27.000000,畅通,<module 'time' (built-in)>
1332,122.000000,12.000000,畅通,<module 'time' (built-in)>
1334,275.000000,31.000000,畅通,<module 'time' (built-in)>
1342,132.000000,19.000000,畅通,<module 'time' (built-in)>
1351,146.000000,27.000000,畅通,<module 'time' (built-in)>
1356,121.000000,9.000000,畅通,<module 'time' (built-in)>
1357,615.000000,40.000000,畅通,<module 'time' (built-in)>
1358,153.000000,29.000000,畅通,<module 'time' (built-in)>
