OBJECTID,distance,duration,status,time
839,130,10,畅通,Fri Mar  9 11:46:42 2018
844,810,83,畅通,Fri Mar  9 11:46:42 2018
847,213,12,畅通,Fri Mar  9 11:46:42 2018
849,391,89,畅通,Fri Mar  9 11:46:42 2018
850,1189,114,畅通,Fri Mar  9 11:46:42 2018
851,737,46,畅通,Fri Mar  9 11:46:42 2018
852,166,11,畅通,Fri Mar  9 11:46:43 2018
853,745,56,畅通,Fri Mar  9 11:46:43 2018
854,152,19,畅通,Fri Mar  9 11:46:43 2018
855,514,67,畅通,Fri Mar  9 11:46:43 2018
896,1256,138,畅通,Fri Mar  9 11:46:43 2018
898,558,53,畅通,Fri Mar  9 11:46:43 2018
945,122,18,畅通,Fri Mar  9 11:46:43 2018
946,357,62,畅通,Fri Mar  9 11:46:43 2018
947,776,55,畅通,Fri Mar  9 11:46:44 2018
948,750,50,畅通,Fri Mar  9 11:46:44 2018
952,371,67,畅通,Fri Mar  9 11:46:44 2018
954,105,16,畅通,Fri Mar  9 11:46:44 2018
955,595,51,畅通,Fri Mar  9 11:46:44 2018
956,212,18,畅通,Fri Mar  9 11:46:44 2018
957,254,19,畅通,Fri Mar  9 11:46:44 2018
959,430,28,畅通,Fri Mar  9 11:46:44 2018
960,571,78,畅通,Fri Mar  9 11:46:45 2018
961,159,17,畅通,Fri Mar  9 11:46:45 2018
962,272,22,畅通,Fri Mar  9 11:46:45 2018
963,187,38,畅通,Fri Mar  9 11:46:45 2018
1026,190,31,畅通,Fri Mar  9 11:46:45 2018
1028,523,37,畅通,Fri Mar  9 11:46:45 2018
1029,332,29,畅通,Fri Mar  9 11:46:45 2018
1030,208,23,畅通,Fri Mar  9 11:46:46 2018
1033,162,16,畅通,Fri Mar  9 11:46:49 2018
1035,227,19,畅通,Fri Mar  9 11:46:49 2018
1037,137,12,畅通,Fri Mar  9 11:46:49 2018
1050,610,73,畅通,Fri Mar  9 11:46:49 2018
1051,804,55,畅通,Fri Mar  9 11:46:49 2018
1058,388,55,畅通,Fri Mar  9 11:46:49 2018
1066,137,10,畅通,Fri Mar  9 11:46:49 2018
1070,272,37,畅通,Fri Mar  9 11:46:50 2018
1073,331,57,畅通,Fri Mar  9 11:46:50 2018
1076,288,60,缓行,Fri Mar  9 11:46:50 2018
1104,102,13,畅通,Fri Mar  9 11:46:50 2018
1106,188,22,畅通,Fri Mar  9 11:46:50 2018
1119,305,31,畅通,Fri Mar  9 11:46:50 2018
1121,179,26,未知,Fri Mar  9 11:46:50 2018
1129,647,56,畅通,Fri Mar  9 11:46:50 2018
1132,402,54,畅通,Fri Mar  9 11:46:51 2018
1138,199,44,畅通,Fri Mar  9 11:46:51 2018
1146,156,15,畅通,Fri Mar  9 11:46:51 2018
1149,1036,114,畅通,Fri Mar  9 11:46:51 2018
1153,437,77,畅通,Fri Mar  9 11:46:51 2018
1156,293,67,畅通,Fri Mar  9 11:46:51 2018
1157,166,17,畅通,Fri Mar  9 11:46:51 2018
