OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length,from_lat,from_lng,to_lng,to_lat,from_lat_mars,from_lng_mars,to_lat_mars,to_lng_mars
1110, , ,2301368836,primary,0,2,193.1394578406499, ,运河西路,True,221227661, ,2310701391, ,193.09731783151508,31.5536562,120.2903726,120.2917431,31.552370500000002,31.551739745869334,120.29496091768608,31.55045586323463,120.29633257896377
1111, , ,2310704715,primary,0,2,349.702600694393, ,运河西路,True,221227661, ,2301368836, ,349.4958776623733,31.5561402,120.2881092,120.2903726,31.5536562,31.554220878695375,120.29269576310504,31.551739745869334,120.29496091768608
1112, , ,2302169024,tertiary,0, ,289.8854300212372, ,香榭街,False,221161255, ,2302169011, ,290.15506154727404,31.5820419,120.2841246,120.2815975,31.580596500000002,31.580119230033024,120.28871034761016,31.578670783378993,120.2861814825967
1113, , ,2302169031,residential,0, ,596.3282190838138, ,棉花巷,False,221161253, ,2302169011, ,597.1415305858998,31.5788271,120.28694140000002,120.2815975,31.580596500000002,31.576907795718295,120.29152896762412,31.578670783378993,120.2861814825967
1114, , ,2302169032,residential,0, ,314.17876376836153, ,五里街,False,221161254, ,2302169011, ,314.19505896025316,31.5825695,120.2792593,120.2815975,31.580596500000002,31.580641309016652,120.2838421452407,31.578670783378993,120.2861814825967
1115, , ,2302169015,tertiary,0, ,303.5389721131403, ,香榭街,False,221161255, ,2302169011, ,302.98060979608493,31.578038,120.2805831,120.2815975,31.580596500000002,31.576111007052717,120.28516626990654,31.578670783378993,120.2861814825967
1116, , ,2302169015,secondary,0,2,37.873883518391416,40,人民西路,True,248957978, ,2302169687, ,37.95904544905797,31.578038,120.2805831,120.2809741,31.5779669,31.576111007052717,120.28516626990654,31.576040338080784,120.28555748756557
1117, , ,2447814589,secondary,0,2,88.12986406779595,40,人民西路,True,248957978, ,2302169015, ,88.2830967655497,31.5783401,120.2797247,120.2805831,31.578038,31.576412185561278,120.28430742482722,31.576111007052717,120.28516626990654
1118, , ,2383825836,residential,0, ,239.80893092924026, ,迎龙路,False,221161252, ,2302169024, ,240.1859546002332,31.582962100000003,120.2864142,120.2841246,31.5820419,31.581042332098065,120.29100171043201,31.580119230033024,120.28871034761016
1119, , ,2302169032,primary,0,3,303.07987918628487, ,运河东路,True,419888312, ,2306102018, ,303.56416379062165,31.5825695,120.2792593,120.2821611,31.5837169,31.580641309016652,120.2838421452407,31.581791987242443,120.28674569698958
1120, , ,2857775757,primary,0,3,47.102709964571005, ,运河东路,True,419888312, ,2302169032, ,47.18710636768292,31.5824122,120.2787976,120.2792593,31.5825695,31.58048351291207,120.2833801980874,31.580641309016652,120.2838421452407
1121, ,yes,2302169687,secondary,0,2,177.89337400671906,40,人民西路,True,"[248957977, 248957978, 180867668]", ,2447813791, ,178.31694609012013,31.5779669,120.2809741,120.282837,31.577768100000004,31.576040338080784,120.28555748756557,31.575843664035617,120.28742151461007
1122, , ,2302215682,secondary,0, ,293.7931066726872, ,学前西路,False,221166547, ,2302172965, ,293.7162251078772,31.5680695,120.2846396,120.2866611,31.5700197,31.56614663346398,120.2892245069127,31.568099506648117,120.29124768799241
1123, , ,2302172967,secondary,0, ,17.959114118668687, ,学前西路,False,221166547, ,2302172965, ,17.983332623881346,31.5700977,120.2868271,120.2866611,31.5700197,31.56817772581169,120.29141382525415,31.568099506648117,120.29124768799241
1124, , ,3027736240,primary,0, ,118.68147918076315, ,五爱路,False,221071487, ,2302172966, ,118.49757439624564,31.5723588,120.2842417,120.2837127,31.5713913,31.570435725241197,120.28882669529152,31.569467524504148,120.2882972472241
1125, , ,2302172968,primary,0, ,15.787565403456302, ,五爱路,False,221071487, ,2302172966, ,15.767387376430975,31.5712667,120.2836328,120.2837127,31.5713913,31.56934282065942,120.28821728227528,31.569467524504148,120.2882972472241
1126, ,yes,2302212554,secondary,0, ,210.2831985609137, ,学前西路,False,"[221166547, 245137100, 245137101]", ,2302172967, ,210.5790642700911,31.5709756,120.2887929,120.2868271,31.5700977,31.569058276174665,120.29338131765346,31.56817772581169,120.29141382525415
1127, , ,2302212550,residential,0, ,17.09417839899794, ,棚下街,False,221165659, ,2302172970, ,17.096865651102455,31.5706073,120.2855629,120.2854321,31.570501399999998,31.568685748176247,120.29014869886934,31.568579677314528,120.29001779252575
1128, , ,2302177320,secondary,0,2,52.75309657523721,40,人民西路,True,248957978, ,2302177325, ,52.84044560047219,31.5787785,120.2786205,120.279129,31.5785851,31.576849436961005,120.28320269781952,31.576656561591246,120.28371143544594
1129, ,yes,3021883051,secondary,0,"['2; 4', '2']",653.5196616476624,40,"['古华山路', '人民西路']",True,"[47985656, 248957978, 180867670]", ,2302177320, ,653.972521283212,31.582052,120.2733907,120.2786205,31.5787785,31.58011809392711,120.27797115355526,31.576849436961005,120.28320269781952
1130, , ,2302177325,secondary,0,2,62.66227559303064,40,人民西路,True,248957978, ,2447814589, ,62.75900370759106,31.5785851,120.279129,120.2797247,31.578340100000002,31.576656561591246,120.28371143544594,31.57641218556128,120.28430742482722
1131, , ,2302177333,primary,0,3,48.913218490090806, ,运河东路,True,223848638, ,2302177331, ,48.83534091056118,31.579335600000004,120.2765902,120.2768022,31.579736699999998,31.57740451319923,120.28117153048166,31.577805842944326,120.28138365303629
1132, , ,2857769962,primary,0,3,404.15268441235, ,运河东路,True,223848638, ,2302177333, ,403.29686504637914,31.5758138,120.27555420000002,120.2765902,31.579335600000004,31.57388151960405,120.28013482280109,31.57740451319923,120.28117153048166
1133, , ,2302212551,residential,0, ,197.41827139637647, ,棚下街,False,221165659, ,2302212550, ,197.51217889432945,31.5716894,120.287118,120.2855629,31.570607300000002,31.56976990489216,120.29170509338098,31.56868574817625,120.29014869886934
