OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length
486, , ,2429845237,tertiary,0, ,198.5758784436459, ,望山路,False,147964590, ,1610828102, ,199.058679589881360
487, , ,2330164818,secondary,0, ,202.23212502193337, ,清扬路,True,412370489, ,1610828108, ,202.183603626354000
488, , ,1610828203,secondary,0,2,166.63697044806293, ,中南路,True,398360074, ,2409571170, ,166.568004705319050
489, , ,1684446338,secondary,0,2,165.485042833008, ,中南路,True,398360074, ,1610828203, ,165.405792562941140
490, , ,1610828219,secondary,0,2,12.980836536343064, ,红星路,True,222089133, ,4198794374, ,12.951735204942823
491, , ,1610828219,secondary,0,2,382.6571589269209, ,中南路,True,398360074, ,2313828238, ,383.595212495456170
492, , ,2330160620,primary,0, ,483.1054359195818, ,贡湖大道,True,232618483, ,1610828219, ,482.144143198161600
493, , ,2409650399,secondary,0,2,15.783854275714289, ,中南路,True,398360074, ,1610828219, ,15.822801593153015
494, , ,1610828227,secondary,0,2,275.91568830837167, ,中南路,True,398360074, ,1684446338, ,276.592068671508000
495, , ,2313828238,secondary,0,2,152.93376204413894, ,中南路,True,398360074, ,1610828227, ,153.309014954426860
500, ,yes,2301249625,secondary,0,2,296.98999395536, ,"['亭子桥', '人民东路']",False,"[147964618, 147964620]", ,1610828581, ,297.527260397507290
501, , ,1610828581,secondary,0,2,29.21081637024492, ,人民东路,True,221074450, ,1684397092, ,29.279993523591916
502, , ,1619079041,secondary,0,2,31.61036272066925, ,学前东路,True,43316203, ,2664844357, ,31.671267208400188
504, , ,4198817995,secondary,0,2,13.486178769331454, ,学前东路,True,43316203, ,1619079041, ,13.510621801116489
507, , ,1683052362,secondary,0,3,277.9658920603694, ,兴昌路,True,70659289, ,1683052387, ,278.053874518127830
508, , ,1683052414,secondary,0,3,613.5975967627718, ,兴昌路,True,70659289, ,1683052362, ,613.189802243349050
509, , ,1683052380,secondary,0,"['3', '2']",467.7866333054487, ,学前东路,True,"[147859410, 222610826, 222610814]", ,2315628013,yes,468.468851481488290
