OBJECTID,highway,lat,lon,osmid
230, ,31.6124247,120.2864433,1750920523
231, ,31.6124787,120.287526,1750920527
232, ,31.613197,120.2824933,1750920558
233, ,31.6132452,120.2851857,1750920561
234, ,31.6134795,120.2840188,1750920571
235, ,31.6136756,120.2796944,1750927215
236, ,31.6141127,120.2793522,1750927240
237, ,31.614148,120.2807619,1750927242
238, ,31.6144291,120.2794541,1750927271
239, ,31.6146889,120.2800736,1750927313
240, ,31.6147852,120.2804064,1750927316
241, ,31.5556614,120.2654609,1762307915
242, ,31.5556692,120.2652272,1762307916
243, ,31.5573601,120.2655634,1762307921
244, ,31.5573689,120.2653449,1762307922
245, ,31.5698185,120.2622624,1762307981
246, ,31.5701446,120.2620619,1762307982
247, ,31.5863616,120.2582317,1762308025
248, ,31.5866472,120.2579979,1762308034
249, ,31.587458,120.2589822,1762308060
250, ,31.5972715,120.2698848,1762308149
251, ,31.5976591,120.2705777,1762308150
252, ,31.600574,120.2742168,1762308161
253, ,31.6008074,120.2740444,1762308163
254, ,31.6068994,120.2793272,1762308203
255, ,31.6075356,120.2793266,1762308207
256, ,31.6094537,120.2797461,1762308212
257, ,31.6094494,120.2795597,1762308213
258, ,31.6099308,120.2794868,1762308215
259, ,31.6133976,120.2798938,1762308275
260,traffic_signals,31.6139442,120.2800505,1762308285
261,traffic_signals,31.6140143,120.2798051,1762308286
262,traffic_signals,31.6142874,120.2801693,1762308292
263,traffic_signals,31.6143331,120.2799117,1762308297
264, ,31.5633887,120.3438192,1762323816
265, ,31.5644766,120.3468401,1762323818
266, ,31.5729029,120.3404083,1762323882
267, ,31.576114,120.3340796,1762323971
268, ,31.5608179,120.349474,1763557821
269, ,31.5683398,120.3436617,1763558025
270, ,31.5691796,120.3432133,1763558032
271, ,31.5704635,120.3420524,1763558039
272, ,31.5708441,120.3416132,1763558048
273, ,31.5708746,120.3419351,1763558050
274, ,31.5255887,120.2875132,1765778656
275, ,31.5258783,120.2888038,1765778668
276, ,31.5308553,120.2972424,1765778718
277, ,31.5308977,120.2974426,1765778719
278, ,31.5359563,120.304559,1765778758
279, ,31.5361929,120.3043678,1765778792
280, ,31.5362926,120.3049679,1765778798
281, ,31.5365011,120.3047938,1765778809
282, ,31.5365429,120.3049166,1765778818
283, ,31.5397641,120.3091779,1765778880
284, ,31.5406377,120.3102637,1765778927
285, ,31.5409542,120.3111145,1765778957
286, ,31.5411386,120.3108774,1765778969
287, ,31.5430723,120.3138848,1765778988
288, ,31.5470439,120.3191302,1765779033
289, ,31.5471968,120.3188549,1765779041
290, ,31.5478336,120.3199796,1765779051
291, ,31.5479062,120.3198932,1765779054
292,crossing,31.5504625,120.3231132,1765779110
293, ,31.5541391,120.3273302,1765779143
294, ,31.5545537,120.3276909,1765779147
295, ,31.5561795,120.3299841,1765779192
296, ,31.5576317,120.332156,1765779222
297, ,31.558845,120.3348244,1765779229
298, ,31.5592497,120.3354217,1765779233
299, ,31.5605612,120.3379288,1765779240
300, ,31.562158,120.3414641,1765779245
301, ,31.562785,120.3428623,1765779246
302, ,31.5664164,120.3505495,1765779257
303, ,31.5256602,120.2885495,1765782309
304, ,31.5260806,120.2894372,1765782327
305, ,31.5269279,120.2917738,1765782345
306, ,31.5269178,120.2821674,1765786554
307, ,31.5270304,120.2779566,1765786576
308, ,31.5270881,120.2808873,1765786598
309, ,31.5271038,120.2818975,1765786604
310, ,31.5272334,120.2791514,1765786635
311, ,31.527363,120.2805605,1765786670
312, ,31.5273733,120.2798261,1765786672
313, ,31.5213244,120.2677465,1766385558
314, ,31.52229,120.2672141,1766385563
315, ,31.522861,120.2674504,1766385576
316, ,31.5238916,120.2658673,1766385630
317,traffic_signals,31.5238918,120.2673651,1766385632
318, ,31.523987,120.2690652,1766385651
319,traffic_signals,31.5240393,120.266975,1766385680
320, ,31.5240449,120.2657332,1766385681
321,traffic_signals,31.5240674,120.2673539,1766385682
322, ,31.5242727,120.269013,1766385807
323, ,31.5244562,120.2726961,1766385916
324, ,31.5247406,120.2725974,1766386006
325, ,31.5247818,120.2734586,1766386043
326, ,31.5248894,120.2734079,1766386061
327, ,31.5250836,120.2668256,1766386091
328, ,31.5252291,120.2673645,1766386114
329, ,31.5291028,120.2666981,1766386205
330, ,31.5291154,120.2669233,1766386207
331, ,31.5294923,120.2665401,1766386217
332, ,31.529503,120.2670418,1766386246
333, ,31.5297954,120.2636,1766386406
334, ,31.5298818,120.2665157,1766386465
335, ,31.5298882,120.2670093,1766386479
336, ,31.5299287,120.2701509,1766386495
337, ,31.5310321,120.2664379,1766386550
338, ,31.5310689,120.2669352,1766386552
339, ,31.5314055,120.2667791,1766386554
340, ,31.5314158,120.2665544,1766386556
341, ,31.5336645,120.2666172,1766386572
342, ,31.5339048,120.2663715,1766386576
343, ,31.5340225,120.2667186,1766386578
344, ,31.5366105,120.2660462,1766386590
345, ,31.5371404,120.2661716,1766386612
346, ,31.547277,120.2654277,1768924000
347, ,31.5686101,120.2976382,1772577567
348, ,31.5528232,120.3097917,1772577568
349, ,31.5827489,120.2942299,1772577572
