OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length,from_lat,from_lng,to_lng,to_lat
1566, , ,3040567362,primary,0,"['3', '2']",216.6882528956176, ,金城西路,True,"[164985756, 164985759]", ,2429850747, ,216.91564830856976,31.5272631,120.29180190000001,120.2898738,2429850747
1567, ,yes,3026640300,tertiary,0, ,521.2083489064768, ,会友路,False,"[234860026, 227890139, 234860028]", ,2429850752, ,522.3469804541941,31.528375899999997,120.28409029999999,120.28943319999999,2429850752
1568, ,yes,2927024643,secondary,0,2; 4,107.36499837579771,40,古华山路,False,"[235251058, 235251059]", ,2433333058, ,107.35494605900604,31.586239399999997,120.27056370000001,120.2713434,2433333058
1579, , ,2447792629,secondary,0,3,74.41654198348243, ,永乐东路,True,187546086, ,2447792619, ,74.45464258719619,31.5698407,120.31764629999999,120.318257,2447792619
1580, , ,2447792621,primary,0,2,57.967391360660116, ,兴源路,True,221498422, ,2447792623, ,57.906379054051676,31.5711075,120.31991000000001,120.31958370000001,2447792623
1581, , ,2447798268,primary,0,2,161.71876765161068, ,兴源路,True,221498422, ,2447799106, ,161.51119891148326,31.5772999,120.3157014,120.3148716,2447799106
1582, , ,3030259822,secondary,0,2,56.808207579853395, ,塘南路,True,156153638, ,2447798273, ,56.6794937364546,31.576924100000003,120.31216119999999,120.31227379999999,2447798273
1583, , ,2857796473,tertiary,0, ,122.50416067277328, ,健康路,False,47701166, ,2447803435, ,122.21824810693614,31.5726572,120.2921027,120.2919254,2447803435
1584, , ,2567497671,tertiary,0, ,4.7143830588846045, ,健康路,False,47701166, ,2447803435, ,4.703379593171802,31.5737905,120.2919186,120.2919254,2447803435
1585, , ,2447803437,residential,0, ,106.80923841047094, ,前西溪,True,236809861, ,2447803435, ,107.06288392177409,31.573625,120.29080729999998,120.2919254,2447803435
1586, , ,2447803436,tertiary,0, ,73.34952564660146, ,后西溪,True,47701151, ,2857718717, ,73.52442774921172,31.5748928,120.2906227,120.2898541,2857718717
1587, , ,2447808905,residential,0, ,183.64649082899345, ,德溪路,False,236810625, ,2447808893, ,183.83321452094935,31.572879999999998,120.2845267,120.28290659999999,2447808893
1588, , ,3027736240,primary,0, ,63.93561279372637, ,五爱路,False,221071487, ,2447808905, ,63.83650619094706,31.5723588,120.28424170000001,120.2845267,2447808905
1589, , ,2447808968,primary,0, ,35.09394428870771, ,五爱路,False,221071487, ,2447808905, ,35.04169086635293,31.573163300000004,120.2846899,120.2845267,2447808905
1590, , ,2447809124,primary,0, ,216.4640815306831, ,五爱路,False,221071487, ,2447808968, ,216.15015169105172,31.574906,120.28570819999999,120.2846899,2447808968
1591, , ,2447813782,primary,0, ,105.68207138147775, ,五爱路,False,221071487, ,2447809124, ,105.49585044616032,31.575790299999998,120.286115,120.28570819999999,2447809124
1592, , ,2447814584,primary,0,3,78.95487517125311, ,运河东路,True,223848638, ,2857769962, ,78.76624147479787,31.575105699999998,120.27549760000001,120.27555420000002,2857769962
1594, , ,2455096663,tertiary,0, ,25.01147784624743, ,北塘大街,False,48051052, ,2455096658, ,25.019067514038863,31.5981707,120.2708804,120.2710774,2455096658
1595, , ,2455096658,secondary,0, ,147.92247228873725, ,凤翔路,True,164615582, ,2877226456, ,147.90991506317556,31.598020899999998,120.2710774,120.2721548,2877226456
1596, , ,3326585864,secondary,0, ,160.34465222732197, ,凤翔路,True,326041063, ,2455096663, ,160.36133710381125,31.599174800000004,120.27209540000001,120.2708804,2455096663
1597, , ,2455127079,primary,0, ,5.8429654257323325, ,锡沪西路,True,107908288, ,2455127071, ,5.846822715237467,31.5938614,120.302025,120.3019758,2455127071
1598, , ,2455132487,trunk,0,3,72.084693003706, ,通江大道,True,197060648, ,2455132491, ,71.9216749984052,31.5994315,120.305699,120.30555829999999,2455132491
1601, , ,4198794430,service,0, ,67.69060285274999, ,绿塔路三弄,False,237824768, ,2456890395, ,67.84982044879035,31.577287199999997,120.30516770000001,120.30587549999998,2456890395
1605, , ,2863434095,secondary,0, ,149.2239289456138, ,清扬路,False,43316200, ,2460022614, ,149.0663499167807,31.5566002,120.300963,120.3001274,2460022614
1607, , ,2461154452,trunk_link,0,3,153.09780493561814, ,青祁路,True,165341357, ,2461147821, ,152.7291313566163,31.546273499999998,120.2654818,120.26553,2461147821
1608, , ,2461166772,tertiary,0, ,263.1286513924096, ,湖滨商业街,False,222411983, ,2461166768, ,263.4676136572933,31.535657699999998,120.2713014,120.27371969999999,2461166768
1627, , ,3022232875,secondary,0, ,362.36238016863916, ,梁溪路,False,48418342, ,2461615490, ,363.17766658856806,31.5667712,120.2711781,120.2674399,2461615490
1628, , ,2530357629,primary,0, ,282.64157962720003, ,梁清路,False,245936324, ,2461615491, ,283.2688130852144,31.561210100000004,120.2656406,120.2685462,2461615491
1629, , ,2697548336,primary,0, ,41.847469540675505, ,梁清路,False,245936324, ,2461615491, ,41.94117917824508,31.5618669,120.26897749999999,120.2685462,2461615491
